Rank,Model / variant,Version,Throughput,Illustrative $/1k total,100k/week,1M/week,10M/week,Credits/1k total
1,Luna Low,5.6,Fast 1.5x; abs n/a,0.0001105,0.011,0.1105,1.1048,0.002762
1,Luna Medium,5.6,Fast 1.5x; abs n/a,0.0001105,0.011,0.1105,1.1048,0.002762
1,Luna High,5.6,Fast 1.5x; abs n/a,0.0001105,0.011,0.1105,1.1048,0.002762
1,Luna XHigh,5.6,Fast 1.5x; abs n/a,0.0001105,0.011,0.1105,1.1048,0.002762
1,Luna Max,5.6,Fast 1.5x; abs n/a,0.0001105,0.011,0.1105,1.1048,0.002762
2,GPT-5.4 Mini,5.4 Mini,abs n/a,0.0004143,0.0414,0.4143,4.1429,0.010381
3,Terra Low,5.6,Fast 1.5x; abs n/a,0.0011048,0.1105,1.1048,11.0476,0.027619
3,Terra Medium,5.6,Fast 1.5x; abs n/a,0.0011048,0.1105,1.1048,11.0476,0.027619
3,Terra High,5.6,Fast 1.5x; abs n/a,0.0011048,0.1105,1.1048,11.0476,0.027619
3,Terra XHigh,5.6,Fast 1.5x; abs n/a,0.0011048,0.1105,1.1048,11.0476,0.027619
3,Terra Max,5.6,Fast 1.5x; abs n/a,0.0011048,0.1105,1.1048,11.0476,0.027619
4,GPT-5.4,5.4,Fast 1.5x,0.001381,0.1381,1.381,13.8095,0.034524
5,Sol Low,5.6,Fast 1.5x,0.0027619,0.2762,2.7619,27.619,0.069048
5,Sol Medium,5.6,Fast 1.5x,0.0027619,0.2762,2.7619,27.619,0.069048
5,Sol High,5.6,Fast 1.5x,0.0027619,0.2762,2.7619,27.619,0.069048
5,Sol XHigh,5.6,Fast 1.5x,0.0027619,0.2762,2.7619,27.619,0.069048
5,Sol Max,5.6,Fast 1.5x,0.0027619,0.2762,2.7619,27.619,0.069048
5,Sol Ultra,5.6,multi-agent,0.0027619,0.2762,2.7619,27.619,0.069048
5,GPT-5.5,5.5,Fast 1.5x,0.0027619,0.2762,2.7619,27.619,0.069048
