book,year,page,caption,image_url,source_url
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,6,Рис. 1. Соотношение объекта и предмета знания,https://loveread.ec/img/book_covers/045/45839/_1.jpg,https://loveread.ec/read_book.php?id=45839&p=6
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,6,Таблица 1. Объект и предмет психологии развития человека,https://loveread.ec/img/book_covers/045/45839/_2.jpg,https://loveread.ec/read_book.php?id=45839&p=6
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,7,"Рис. 2. Взаимосвязь практических, учебных и теоретических знаний",https://loveread.ec/img/book_covers/045/45839/_3.jpg,https://loveread.ec/read_book.php?id=45839&p=7
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,7,Таблица 2. Содержание деятельности в разных профессиональных позициях,https://loveread.ec/img/book_covers/045/45839/_4.jpg,https://loveread.ec/read_book.php?id=45839&p=7
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,28,Рис. 3. Схема периодизации детского развития,https://loveread.ec/img/book_covers/045/45839/_6.jpg,https://loveread.ec/read_book.php?id=45839&p=28
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,43,Таблица 4. Категориальный строй парадигм развития в психологии,https://loveread.ec/img/book_covers/045/45839/_7.jpg,https://loveread.ec/read_book.php?id=45839&p=43
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,56,Таблица 5. Интегральная периодизация развития субъективной реальности,https://loveread.ec/img/book_covers/045/45839/_8.jpg,https://loveread.ec/read_book.php?id=45839&p=56
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,56,Рис. 4. Ступени развития субъекта человеческой общности,https://loveread.ec/img/book_covers/045/45839/_9.jpg,https://loveread.ec/read_book.php?id=45839&p=56
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,57,Рис. 5. Содержание стабильных и критических стадий развития — Оживление,https://loveread.ec/img/book_covers/045/45839/_10.jpg,https://loveread.ec/read_book.php?id=45839&p=57
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,57,Рис. 5. Содержание стабильных и критических стадий развития — Одушевление,https://loveread.ec/img/book_covers/045/45839/_11.jpg,https://loveread.ec/read_book.php?id=45839&p=57
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,57,Рис. 5. Содержание стабильных и критических стадий развития — Персонализация,https://loveread.ec/img/book_covers/045/45839/_12.jpg,https://loveread.ec/read_book.php?id=45839&p=57
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,57,Рис. 5. Содержание стабильных и критических стадий развития — Индивидуализация,https://loveread.ec/img/book_covers/045/45839/_13.jpg,https://loveread.ec/read_book.php?id=45839&p=57
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,57,Рис. 5. Содержание стабильных и критических стадий развития — Универсализация,https://loveread.ec/img/book_covers/045/45839/_14.jpg,https://loveread.ec/read_book.php?id=45839&p=57
Психология развития человека. Развитие субъективной реальности в онтогенезе,2000,99,Рис. 6. Траектории развития двух основных компонентов интеллекта,https://loveread.ec/img/book_covers/045/45839/_15.jpg,https://loveread.ec/read_book.php?id=45839&p=99
Психология человека. Введение в психологию субъективности,1995,18,Рис. 1. Направление психологии и предмет исследования,https://loveread.ec/img/book_covers/045/45838/i_001.jpg,https://loveread.ec/read_book.php?id=45838&p=18
Психология человека. Введение в психологию субъективности,1995,24,Рис. 2. Уровни и способы организации научного познания,https://loveread.ec/img/book_covers/045/45838/i_002.jpg,https://loveread.ec/read_book.php?id=45838&p=24
Психология человека. Введение в психологию субъективности,1995,28,Рис. 3. Объективные методы психологии,https://loveread.ec/img/book_covers/045/45838/i_003.jpg,https://loveread.ec/read_book.php?id=45838&p=28
Психология человека. Введение в психологию субъективности,1995,31,Рис. 4. Методы описательной психологии,https://loveread.ec/img/book_covers/045/45838/i_004.jpg,https://loveread.ec/read_book.php?id=45838&p=31
Психология человека. Введение в психологию субъективности,1995,38,Рис. 6. Психологическое строение индивидуальной деятельности (по А. Н. Леонтьеву),https://loveread.ec/img/book_covers/045/45838/i_007.jpg,https://loveread.ec/read_book.php?id=45838&p=38
Психология человека. Введение в психологию субъективности,1995,57,Рис. 10. Типология общностей и единиц анализа,https://loveread.ec/img/book_covers/045/45838/i_012.jpg,https://loveread.ec/read_book.php?id=45838&p=57
Психология человека. Введение в психологию субъективности,1995,62,Рис. 12. Проекции человеческой реальности,https://loveread.ec/img/book_covers/045/45838/i_014.jpg,https://loveread.ec/read_book.php?id=45838&p=62
Психология человека. Введение в психологию субъективности,1995,63,Рис. 13. Индивидные свойства человека (по Б. Г. Ананьеву),https://loveread.ec/img/book_covers/045/45838/i_015.jpg,https://loveread.ec/read_book.php?id=45838&p=63
Психология человека. Введение в психологию субъективности,1995,76,Рис. 14. Виды мотивов,https://loveread.ec/img/book_covers/045/45838/i_016.jpg,https://loveread.ec/read_book.php?id=45838&p=76
Психология человека. Введение в психологию субъективности,1995,89,Рис. 22. Этапы решения мыслительной задачи,https://loveread.ec/img/book_covers/045/45838/i_024.jpg,https://loveread.ec/read_book.php?id=45838&p=89
